Name,Birthdate,Gender,Nationality,Occupation
Cecilia Grierson,,,,
Paulina Luisi,1875-09-22T00:00:00Z,female,Uruguay,teacher
Carmen Lyra,1887-01-15T00:00:00Z,female,Costa Rica,writer
Gabriela Mistral,1889-04-07T00:00:00Z,female,Chile,writer
María Rosa Oliver,1898-09-10T00:00:00Z,female,Argentina,writer
Blanca Luz Brum,1905-05-31T00:00:00Z,female,Uruguay,painter
Nydia Lamarque,1906-01-01T00:00:00Z,female,Argentina,writer
Mirta Aguirre,1912-10-18T00:00:00Z,female,Cuba,writer
Victoria Ocampo,1890-04-07T00:00:00Z,female,Argentina,writer
Zélia Gattai,1916-07-02T00:00:00Z,female,Brazil,photographer
Rubén Darío,1867-01-18T00:00:00Z,male,Nicaragua,writer
Joaquim Nabuco,1849-08-19T00:00:00Z,male,Brazil,writer
Bartolomeu Mitre,1821-06-26T00:00:00Z,male,Argentina,military personnel
Pedro Henriquez Ureña,1884-06-29T00:00:00Z,male,Dominican Republic,writer
Alfonso Reyes,1889-05-17T00:00:00Z,male,Mexico,writer
José Carlos Mariátegui,1894-06-14T00:00:00Z,male,Peru,politician
Manuel Gamio,1883-01-01T00:00:00Z,male,Mexico,sociologist
José María Arguedas,1911-01-18T00:00:00Z,male,Peru,poet
José Luis Romero,1909-03-24T00:00:00Z,male,Argentina,historian
Jorge Luis Borges,1899-08-24T00:00:00Z,male,Argentina,screenwriter
José Ingenieros,,,,
Domingo Faustino Sarmiento,1811-02-14T00:00:00Z,male,Argentina,writer
Beatriz Sarlo,1942-03-29T00:00:00Z,female,Argentina,writer
José Martí,1853-01-28T00:00:00Z,male,Spain,writer
Fernando Ortiz,1717-01-01T00:00:00Z,male,Spain,sculptor
Mariano Picón Salas,1901-01-26T00:00:00Z,male,Venezuela,writer
Samuel Ramos,,male,,stage actor
